time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-06 00:00:00+00:00,6,4,49.0,1.0
2024-05-07 00:00:00+00:00,3,3,35.0,1.0
2024-05-08 00:00:00+00:00,3,3,,
2024-05-09 00:00:00+00:00,3,3,,
2024-05-10 00:00:00+00:00,3,3,104.0,1.0
2024-05-11 00:00:00+00:00,3,3,,
2024-05-12 00:00:00+00:00,3,3,,
2024-05-13 00:00:00+00:00,3,3,2.0,1.0
2024-05-14 00:00:00+00:00,2,2,7.0,1.0
2024-05-15 00:00:00+00:00,7,4,10.0,1.0
2024-05-16 00:00:00+00:00,2,2,3.0,1.0
2024-05-17 00:00:00+00:00,3,3,,
2024-05-18 00:00:00+00:00,2,2,,
2024-05-19 00:00:00+00:00,2,2,,
